NEW_EXP,2020-08-29 09:42:50
dataset,model_name,num_epochs,learning_rate,cortex,laboratory,size,repetitions,batch_size
IMAGENETTE,ResNet50_custom,20,0.08,1,1,128,3,10
epoch,train_loss,valid_loss,accuracy,time
0,2.238845109939575,10.487619400024414,0.22191083431243896,09:44
1,2.2109055519104004,3.170736312866211,0.2201273888349533,09:53
2,2.2620480060577393,2.5138766765594482,0.25732484459877014,09:54
3,1.9613642692565918,2.1954116821289062,0.29121020436286926,09:53
4,1.8860657215118408,2.489184856414795,0.3225477635860443,09:52
5,1.7569681406021118,1.9124865531921387,0.4188534915447235,09:53
6,1.6919846534729004,1.5656832456588745,0.4728662371635437,09:56
7,1.5452967882156372,1.795700192451477,0.5098088979721069,09:53
8,1.4534416198730469,1.75640070438385,0.5029299259185791,09:53
9,1.2751717567443848,1.3355175256729126,0.5895541310310364,09:56
10,1.2216479778289795,1.4556573629379272,0.621910810470581,09:53
11,1.1491516828536987,1.5497654676437378,0.6407643556594849,09:53
12,1.1186047792434692,1.5809977054595947,0.6583439707756042,09:53
13,1.0969891548156738,1.1932289600372314,0.6993630528450012,09:55
14,0.9742957353591919,1.1027753353118896,0.7212738990783691,09:54
15,0.9470030665397644,1.1202006340026855,0.7266241908073425,09:56
16,0.9478320479393005,0.8929036259651184,0.7383439540863037,09:55
17,0.8690385818481445,0.8449731469154358,0.7439490556716919,09:54
18,0.8237193822860718,1.197953462600708,0.740636944770813,09:53
19,0.8407561779022217,1.0952023267745972,0.7436942458152771,09:54

